oorsprong;oorsprong LAT;oorsprong LON;bestemming;bestemming LAT;bestemming LON;vertrektijdstip(epoch);Vertrekdatum;Vertrektijdstip;afstand[km];reistijd (daggemiddelde) [min];reistijd (op gevraagd moment) [min];Traject;Beweging
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729587810;22/10/2024;11:00;1,146;1,85;1,716666667;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729588109;22/10/2024;11:05;1,706;2,933333333;3,166666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729588109;22/10/2024;11:05;1,593;2,733333333;2,983333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729588109;22/10/2024;11:05;1,374;2,8;3,1;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729588110;22/10/2024;11:05;1,223;2,316666667;2,55;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729588110;22/10/2024;11:05;2,297;2,966666667;2,933333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729588110;22/10/2024;11:05;2,357;3,25;3,166666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729588110;22/10/2024;11:05;1,146;1,85;1,683333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729588409;22/10/2024;11:10;1,706;2,933333333;3,133333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729588409;22/10/2024;11:10;1,593;2,733333333;3;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729588410;22/10/2024;11:10;1,374;2,8;3,2;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729588410;22/10/2024;11:10;1,223;2,316666667;2,833333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729588410;22/10/2024;11:10;2,297;2,966666667;2,966666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729588410;22/10/2024;11:10;2,357;3,25;3,166666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729588410;22/10/2024;11:10;1,146;1,85;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729588709;22/10/2024;11:15;1,706;2,933333333;3,2;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729588709;22/10/2024;11:15;1,593;2,733333333;2,983333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729588710;22/10/2024;11:15;1,374;2,8;4,416666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729588710;22/10/2024;11:15;1,223;2,316666667;4,283333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729588710;22/10/2024;11:15;2,297;2,966666667;6,45;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729588710;22/10/2024;11:15;2,357;3,25;6,55;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729588710;22/10/2024;11:15;1,146;1,85;1,833333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729589009;22/10/2024;11:20;1,706;2,933333333;3,15;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729589009;22/10/2024;11:20;1,593;2,733333333;2,933333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729589010;22/10/2024;11:20;1,374;2,8;3,75;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729589010;22/10/2024;11:20;1,223;2,316666667;2,983333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729589010;22/10/2024;11:20;2,297;2,966666667;5,516666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729589010;22/10/2024;11:20;2,357;3,25;5,416666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729589010;22/10/2024;11:20;1,146;1,85;1,8;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729589309;22/10/2024;11:25;1,706;2,933333333;3,116666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729589309;22/10/2024;11:25;1,593;2,733333333;2,95;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729589310;22/10/2024;11:25;1,374;2,8;3,416666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729589310;22/10/2024;11:25;1,223;2,316666667;2,616666667;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729589310;22/10/2024;11:25;2,297;2,966666667;3,55;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729589310;22/10/2024;11:25;2,357;3,25;3,8;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729589310;22/10/2024;11:25;1,146;1,85;1,95;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729589609;22/10/2024;11:30;1,706;2,933333333;3,116666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729589609;22/10/2024;11:30;1,593;2,733333333;3,916666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729589609;22/10/2024;11:30;1,374;2,8;3,183333333;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729589610;22/10/2024;11:30;1,223;2,316666667;2,5;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729589610;22/10/2024;11:30;2,297;2,966666667;3,316666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729589610;22/10/2024;11:30;2,357;3,25;3,583333333;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729589610;22/10/2024;11:30;1,146;1,85;1,766666667;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729589909;22/10/2024;11:35;1,706;2,933333333;3,05;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729589909;22/10/2024;11:35;1,593;2,733333333;3,733333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729589910;22/10/2024;11:35;1,374;2,8;3,083333333;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729589910;22/10/2024;11:35;1,223;2,316666667;2,266666667;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729589910;22/10/2024;11:35;2,297;2,966666667;3,033333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729589910;22/10/2024;11:35;2,357;3,25;3,166666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729589910;22/10/2024;11:35;1,146;1,85;1,733333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729590209;22/10/2024;11:40;1,706;2,933333333;3,05;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729590209;22/10/2024;11:40;1,593;2,733333333;3,516666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729590210;22/10/2024;11:40;1,374;2,8;3,1;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729590210;22/10/2024;11:40;1,223;2,316666667;2,5;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729590210;22/10/2024;11:40;2,297;2,966666667;3,05;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729590210;22/10/2024;11:40;2,357;3,25;3,2;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729590210;22/10/2024;11:40;1,146;1,85;1,75;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729590509;22/10/2024;11:45;1,706;2,933333333;3,05;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729590509;22/10/2024;11:45;1,593;2,733333333;2,766666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729590509;22/10/2024;11:45;1,374;2,8;3,2;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729590510;22/10/2024;11:45;1,223;2,316666667;2,383333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729590510;22/10/2024;11:45;2,297;2,966666667;2,883333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729590510;22/10/2024;11:45;2,357;3,25;3,133333333;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729590510;22/10/2024;11:45;1,146;1,85;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729590809;22/10/2024;11:50;1,706;2,933333333;3,016666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729590809;22/10/2024;11:50;1,593;2,733333333;2,75;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729590810;22/10/2024;11:50;1,374;2,8;3,166666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729590810;22/10/2024;11:50;1,223;2,316666667;2,383333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729590810;22/10/2024;11:50;2,297;2,966666667;2,916666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729590810;22/10/2024;11:50;2,357;3,25;3,166666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729590810;22/10/2024;11:50;1,146;1,85;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729591109;22/10/2024;11:55;1,706;2,933333333;3,033333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729591109;22/10/2024;11:55;1,593;2,733333333;2,766666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729591110;22/10/2024;11:55;1,374;2,8;4,25;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729591110;22/10/2024;11:55;1,223;2,316666667;3,333333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729591110;22/10/2024;11:55;2,297;2,966666667;3,216666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729591110;22/10/2024;11:55;2,357;3,25;3,4;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729591110;22/10/2024;11:55;1,146;1,85;1,683333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729591409;22/10/2024;12:00;1,706;2,933333333;3,066666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729591409;22/10/2024;12:00;1,593;2,733333333;6,3;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729591409;22/10/2024;12:00;1,374;2,8;3,616666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729591410;22/10/2024;12:00;1,223;2,316666667;3,166666667;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729591410;22/10/2024;12:00;2,297;2,966666667;3,666666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729591410;22/10/2024;12:00;2,357;3,25;3,716666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729591410;22/10/2024;12:00;1,146;1,85;1,65;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729591709;22/10/2024;12:05;1,706;2,933333333;3,1;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729591709;22/10/2024;12:05;1,593;2,733333333;3,283333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729591709;22/10/2024;12:05;1,374;2,8;3,3;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729591710;22/10/2024;12:05;1,223;2,316666667;2,683333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729591710;22/10/2024;12:05;2,297;2,966666667;3,15;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729591710;22/10/2024;12:05;2,357;3,25;3,316666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729591710;22/10/2024;12:05;1,146;1,85;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729592009;22/10/2024;12:10;1,706;2,933333333;3,1;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729592009;22/10/2024;12:10;1,593;2,733333333;3,183333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729592010;22/10/2024;12:10;1,374;2,8;3,283333333;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729592010;22/10/2024;12:10;1,223;2,316666667;2,466666667;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729592010;22/10/2024;12:10;2,297;2,966666667;2,916666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729592010;22/10/2024;12:10;2,357;3,25;3,133333333;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729592010;22/10/2024;12:10;1,146;1,85;1,666666667;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729592309;22/10/2024;12:15;1,706;2,933333333;3,066666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729592309;22/10/2024;12:15;1,593;2,733333333;3,116666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729592309;22/10/2024;12:15;1,374;2,8;3,2;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729592310;22/10/2024;12:15;1,223;2,316666667;2,383333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729592310;22/10/2024;12:15;2,297;2,966666667;2,916666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729592310;22/10/2024;12:15;2,357;3,25;3,166666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729592310;22/10/2024;12:15;1,146;1,85;1,8;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729592609;22/10/2024;12:20;1,706;2,933333333;3,1;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729592609;22/10/2024;12:20;1,593;2,733333333;2,966666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729592610;22/10/2024;12:20;1,374;2,8;3,316666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729592610;22/10/2024;12:20;1,223;2,316666667;2,433333333;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729592610;22/10/2024;12:20;2,297;2,966666667;2,966666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729592610;22/10/2024;12:20;2,357;3,25;3,216666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729592610;22/10/2024;12:20;1,146;1,85;1,783333333;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729592909;22/10/2024;12:25;1,706;2,933333333;3,116666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729592909;22/10/2024;12:25;1,593;2,733333333;2,933333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729592910;22/10/2024;12:25;1,374;2,8;3,733333333;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729592910;22/10/2024;12:25;1,223;2,316666667;2,9;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729592910;22/10/2024;12:25;2,297;2,966666667;3,016666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729592910;22/10/2024;12:25;2,357;3,25;3,25;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729592910;22/10/2024;12:25;1,146;1,85;1,8;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729593209;22/10/2024;12:30;1,706;2,933333333;3,133333333;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729593209;22/10/2024;12:30;1,593;2,733333333;2,833333333;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729593210;22/10/2024;12:30;1,374;2,8;6,2;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729593210;22/10/2024;12:30;1,223;2,316666667;4,95;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729593210;22/10/2024;12:30;2,297;2,966666667;3,266666667;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729593210;22/10/2024;12:30;2,357;3,25;3,466666667;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729593210;22/10/2024;12:30;1,146;1,85;1,7;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729593509;22/10/2024;12:35;1,706;2,933333333;3,1;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729593509;22/10/2024;12:35;1,593;2,733333333;2,816666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729593510;22/10/2024;12:35;1,374;2,8;7,766666667;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729593510;22/10/2024;12:35;1,223;2,316666667;6,5;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729593510;22/10/2024;12:35;2,297;2,966666667;3,933333333;Kastelweg - OWS;W-O
Kastelweg;51,24403791;4,353601947;Noordkasteelbruggen;51,24458092;4,386368454;1729593510;22/10/2024;12:35;2,357;3,25;4,033333333;Kastelweg - Noordkasteelbruggen;W-N
Noordkasteelbruggen voor;51,24416075;4,386275253;Noordkasteelbruggen na;51,25429542;4,388623387;1729593510;22/10/2024;12:35;1,146;1,85;1,766666667;Noordkasteelbruggen voor - Noordkasteelbruggen na;N-N
OWS x Droogdokkenweg;51,23829764;4,403005567;Kastelweg;51,24386465;4,384319502;1729593809;22/10/2024;12:40;1,706;2,933333333;3,216666667;OWS x Droogdokkenweg - Kastelweg;O-W
OWS x Droogdokkenweg;51,23829764;4,403005567;Noordkasteelbruggen;51,24458092;4,386368454;1729593809;22/10/2024;12:40;1,593;2,733333333;2,966666667;OWS x Droogdokkenweg - Noordkasteelbruggen;O-N
OWS Bushalte F, Maas;51,25432329;4,388436739;Kastelweg;51,24386465;4,384319502;1729593810;22/10/2024;12:40;1,374;2,8;5,75;OWS Bushalte F, Maas - Kastelweg;N-W
OWS Bushalte F, Maas;51,25432329;4,388436739;OWS;51,24381757;4,386543283;1729593810;22/10/2024;12:40;1,223;2,316666667;6;OWS Bushalte F, Maas - OWS;N-O
Kastelweg;51,24403791;4,353601947;OWS;51,24381757;4,386543283;1729593810;22/10/2024;12:40;2,297;2,966666667;4,183333333;Kastelweg - OWS;W-O
